Disease	gene
Early onset dystonia	YY1
Genetic epilepsy syndromes	AARS
Genetic epilepsy syndromes	ADSL
Genetic epilepsy syndromes	ALDH7A1
Genetic epilepsy syndromes	ALG11
Genetic epilepsy syndromes	ALG13
Genetic epilepsy syndromes	ARHGEF9
Genetic epilepsy syndromes	ARX
Genetic epilepsy syndromes	ATP1A3
Genetic epilepsy syndromes	ATP6V0A2
Genetic epilepsy syndromes	ATRX
Genetic epilepsy syndromes	BRAT1
Genetic epilepsy syndromes	BSCL2
Genetic epilepsy syndromes	CACNA1D
Genetic epilepsy syndromes	CDKL5
Genetic epilepsy syndromes	CHD2
Genetic epilepsy syndromes	CHRNA2
Genetic epilepsy syndromes	CHRNA4
Genetic epilepsy syndromes	CHRNB2
Genetic epilepsy syndromes	CIC
Genetic epilepsy syndromes	CLN8
Genetic epilepsy syndromes	CLTC
Genetic epilepsy syndromes	CNKSR2
Genetic epilepsy syndromes	CNTNAP2
Genetic epilepsy syndromes	CPA6
Genetic epilepsy syndromes	CYFIP2
Genetic epilepsy syndromes	DEPDC5
Genetic epilepsy syndromes	DIAPH1
Genetic epilepsy syndromes	DNM1
Genetic epilepsy syndromes	DOCK7
Genetic epilepsy syndromes	DPYD
Genetic epilepsy syndromes	DYRK1A
Genetic epilepsy syndromes	EHMT1
Genetic epilepsy syndromes	EML1
Genetic epilepsy syndromes	EPG5
Genetic epilepsy syndromes	EPM2A
Genetic epilepsy syndromes	FOXG1
Genetic epilepsy syndromes	GABBR2
Genetic epilepsy syndromes	GABRA1
Genetic epilepsy syndromes	GABRB3
Genetic epilepsy syndromes	GABRG2
Genetic epilepsy syndromes	GLYCTK
Genetic epilepsy syndromes	GNAO1
Genetic epilepsy syndromes	GPAA1
Genetic epilepsy syndromes	GRIN1
Genetic epilepsy syndromes	GRIN2A
Genetic epilepsy syndromes	GRIN2B
Genetic epilepsy syndromes	GSS
Genetic epilepsy syndromes	HCN1
Genetic epilepsy syndromes	HECW2
Genetic epilepsy syndromes	HMGCL
Genetic epilepsy syndromes	HNRNPH2
Genetic epilepsy syndromes	HNRNPU
Genetic epilepsy syndromes	HTRA2
Genetic epilepsy syndromes	IDH2
Genetic epilepsy syndromes	IER3IP1
Genetic epilepsy syndromes	IQSEC2
Genetic epilepsy syndromes	ITPA
Genetic epilepsy syndromes	KCNA2
Genetic epilepsy syndromes	KCNB1
Genetic epilepsy syndromes	KCNC1
Genetic epilepsy syndromes	KCNJ10
Genetic epilepsy syndromes	KCNQ2
Genetic epilepsy syndromes	KCNQ3
Genetic epilepsy syndromes	KCNT1
Genetic epilepsy syndromes	KCTD7
Genetic epilepsy syndromes	KIF1BP
Genetic epilepsy syndromes	LGI1
Genetic epilepsy syndromes	MBD5
Genetic epilepsy syndromes	MBOAT7
Genetic epilepsy syndromes	MDH2
Genetic epilepsy syndromes	MECP2
Genetic epilepsy syndromes	MEF2C
Genetic epilepsy syndromes	MFF
Genetic epilepsy syndromes	MOGS
Genetic epilepsy syndromes	MTOR
Genetic epilepsy syndromes	NACC1
